agent_id,trial,phenotype,action,reward
2,111,exploiter,0,1
2,112,exploiter,0,0
2,113,exploiter,0,1
2,114,exploiter,0,1
2,115,exploiter,0,1
2,116,exploiter,0,1
2,117,exploiter,0,1
2,118,exploiter,0,1
2,119,exploiter,0,0
2,120,exploiter,0,0
2,121,exploiter,0,1
2,122,exploiter,0,1
2,123,exploiter,0,1
2,124,exploiter,0,1
2,125,exploiter,0,1
2,126,exploiter,0,0
2,127,exploiter,0,1
2,128,exploiter,0,0
2,129,exploiter,0,1
2,130,exploiter,0,1
2,131,exploiter,0,1
2,132,exploiter,0,0
2,133,exploiter,0,0
2,134,exploiter,0,0
2,135,exploiter,1,0
2,136,exploiter,0,0
2,137,exploiter,0,1
2,138,exploiter,0,1
2,139,exploiter,0,1
2,140,exploiter,0,1
2,141,exploiter,0,0
2,142,exploiter,0,1
2,143,exploiter,0,1
2,144,exploiter,0,1
2,145,exploiter,0,0
2,146,exploiter,0,1
2,147,exploiter,0,1
2,148,exploiter,0,1
2,149,exploiter,0,1
3,0,random,1,1
3,1,random,1,1
3,2,random,1,0
3,3,random,0,1
3,4,random,1,0
3,5,random,0,1
3,6,random,0,0
3,7,random,0,1
3,8,random,0,1
3,9,random,1,0
3,10,random,1,0
3,11,random,0,0
3,12,random,0,1
3,13,random,1,0
3,14,random,1,0
3,15,random,1,1
3,16,random,1,1
3,17,random,0,0
3,18,random,0,1
3,19,random,0,1
3,20,random,0,0
3,21,random,1,1
3,22,random,0,1
3,23,random,0,1
3,24,random,0,1
3,25,random,1,0
3,26,random,0,1
3,27,random,0,1
3,28,random,1,0
3,29,random,0,1
3,30,random,1,1
3,31,random,1,0
3,32,random,1,0
3,33,random,1,1
3,34,random,1,1
3,35,random,1,0
3,36,random,1,1
3,37,random,1,0
3,38,random,0,1
3,39,random,0,1
3,40,random,1,0
3,41,random,0,1
3,42,random,0,0
3,43,random,0,1
3,44,random,0,0
3,45,random,1,0
3,46,random,0,1
3,47,random,1,0
3,48,random,0,1
3,49,random,0,0
3,50,random,1,0
3,51,random,0,1
3,52,random,1,0
3,53,random,1,1
3,54,random,1,0
3,55,random,1,0
3,56,random,0,0
3,57,random,0,1
3,58,random,0,0
3,59,random,0,1
3,60,random,0,1
3,61,random,0,1
3,62,random,1,0
3,63,random,0,1
3,64,random,0,1
3,65,random,1,0
3,66,random,0,1
3,67,random,1,1
3,68,random,1,0
3,69,random,1,0
3,70,random,0,1
3,71,random,0,0
3,72,random,1,0
3,73,random,1,1
3,74,random,1,0
3,75,random,1,1
3,76,random,1,0
3,77,random,0,0
3,78,random,0,0
3,79,random,0,1
3,80,random,0,1
3,81,random,1,1
3,82,random,1,0
3,83,random,0,1
3,84,random,1,0
3,85,random,0,1
3,86,random,0,0
3,87,random,1,0
3,88,random,1,1
3,89,random,0,0
3,90,random,1,0
3,91,random,0,1
3,92,random,0,1
3,93,random,1,0
