Trial,LatentFactor_1,LatentFactor_2,LatentFactor_3,LatentFactor_4,LatentFactor_5,LatentFactor_6,LatentFactor_7
37,1.4786946848386253,0.47340483440693054,6.95613538606688e-116,0.2454999904395116,0.4070166240848844,0.4959076399981317,1.224730783285788
38,0.8498829718434169,0.345526864154077,6.738609069644787e-43,0.6666274565633286,0.4863275996971466,0.7019963644644666,0.8136040769891614
39,0.002876455282972915,1.0111026179639222,0.03279553033650859,0.8300561053883527,0.5068892942137583,0.43177113525493915,0.7028161290825151
40,1.4760295292256076,0.778028920781024,1.693206815432348e-31,0.5162175300639593,0.47988341545225865,0.11651132707190495,0.8336747520031935
41,1.6660926048903952,0.5211108220218,1.9729518149792083e-102,0.7871053354910778,0.5143160154320128,5.604845913000372e-17,0.7954187295249886
42,0.8571720996633514,0.8900154403801862,3.238822501128036e-88,0.6557845377571251,0.5131594583407262,0.14015971360799503,0.758540352522786
43,0.8154152324611358,0.24006034965846207,5.899486835480954e-114,0.78318212576104,0.4574379759706772,0.6387514839218904,0.7890901635705361
44,2.2107019492862383,1.2540054899670786e-13,1.2870543134471085e-142,0.4551858952856418,0.5773743442543289,0.3020332425617942,0.5476451927644862
45,1.516083651043538,0.10781956714913395,5.472874414416107e-34,0.5885274326166677,0.5787838913028571,0.5662911859255784,0.4750130241606133
46,0.024940681876215655,0.7335042493917692,1.018767518651138e-21,0.2340927019035786,0.5465277701580429,1.1832396846254352,0.5235597999510078
47,1.0220347183900325,0.535558816133732,0.046156454685025904,0.0022615313285538965,0.5730254079641031,0.9339920602958992,0.48791670704523316
48,1.1868399910937293,0.4515155482335215,1.9408110808637462e-163,1.2442776937887589e-17,0.5568766757284684,0.9688420070303385,0.6566051687298124
49,1.19880233177018,0.6457360977586422,9.63862643392536e-86,0.42966272986444237,0.49367548383899856,0.40210562871747946,0.8131666716041518
50,0.709991648897293,0.8710155712271198,5.23917370217202e-91,0.003591959255856898,0.5495945790303768,0.9829213987684674,0.5479653299209184
51,0.4844994182869148,0.7730024309227049,2.116864791422113e-24,0.2929143379007016,0.6478817443233365,0.8351705192364449,0.4990628083786136
52,0.6355406459660616,0.7071087542603254,6.549710932072602e-45,0.6052590005457886,0.6734837491724923,0.5309492900763647,0.3660862088796737
53,0.19776193902652967,1.0191693844846692,2.509867372918252e-57,0.5640965834067877,0.7175822217219998,0.622579565505629,0.23481945328358797
54,1.0028824618130083,0.34671229688601857,1.2907522810818892e-56,0.4819557252362843,0.6973108610099945,0.6454807863751443,0.3327712065188054
55,1.327652520829049,0.3959788321818751,0.0015022982096439684,0.030832308345401092,0.6256943902126886,0.852266732398121,0.47178859615574686
56,1.3016800531902104,0.3407428423328304,5.561036281247431e-86,0.34483728836935545,0.6127183562435973,0.6624463417212757,0.6149671020673012
57,0.6633808171759136,0.5514317058537473,5.560172189524913e-28,0.5982004729925477,0.5810167679547152,0.7057658659571856,0.4166347362595107
58,1.5182165756785866,0.0052303174153376444,1.0404846420503124e-81,0.48164692377997087,0.7079372227304171,0.6667430960480191,0.30805849576760796
