Trial,LatentFactor_1,LatentFactor_2,LatentFactor_3,LatentFactor_4,LatentFactor_5,LatentFactor_6,LatentFactor_7,LatentFactor_8,LatentFactor_9
61,0.1154728408497401,0.11871231777155097,0.6146337641403594,0.7677930488683896,0.1674913122723485,2.018689715679458,0.1479967125078692,0.004548792806679675,2.2751215808617204
62,8.1797202693632e-06,1.2137720118896316,0.46355616155282603,0.5245457994218309,0.13320425304632483,2.258872165607955,0.1546071669545599,3.335539718876994e-21,1.332158142524646
63,0.00021949257189706617,0.5581460314697059,0.4216868037622806,0.823301610569685,0.2790718719338424,1.985229846423779,0.14818426765256879,0.3847322762720899,1.4200418629957643
64,4.47644035012746e-07,0.4042631235095686,0.9195516956525402,0.26256905534073477,0.5597619453093732,2.4079122931518473,0.09564196261769314,1.888020851693415e-09,1.7522860592753449
65,0.029178380032977784,0.11254383740945714,1.1939598322711629,0.6804984209789633,2.2478690470873183e-05,2.051258342407928,0.12208052527547046,0.8703200368649986,0.9390442493134672
66,0.6120016710522792,0.036825354942509166,0.6424771076338501,0.7406154872627596,0.5648333817627237,2.088233586958474,0.019928089429364457,0.524292571388802,0.7146159766498597
67,0.09405605329754872,0.048663761579867924,0.2798719098007058,1.3217959903997816,0.5671636771422749,2.211347746100541,0.022233546907710323,0.3194173570143348,1.2933449868911804
68,0.23577914663207583,9.199950550354449e-07,0.6150732488850037,0.9274147893091907,0.37549105675839967,2.1841010958342264,3.542418264622356e-16,0.6146876068720108,1.2527449331946388
69,0.8660663447113318,0.4058575159612784,1.17194466751293e-26,0.2626633228216339,1.442930462061275,2.5040269746676507,5.3757642062106324e-73,7.953733800071674e-18,0.8648190659653487
70,0.354780110693157,0.8777234698482039,0.637091751594086,0.6903044679422672,0.4689441089469457,2.2244776657086907,6.56117559625735e-17,6.555943797770062e-06,0.49042450817356126
71,0.4235931449131338,0.1684083088398069,0.8908132999534453,0.3624560847994225,0.8731930104435577,2.234356471102046,1.5468887202847467e-16,0.1223931729162207,0.9705392346721159
72,0.02435314595656773,0.6109927535022975,0.389455915597425,1.0000917647163634,0.10037587727149262,2.3063920708095744,0.00017694118324573365,0.1499839300604546,1.5822041823037225
73,0.533455735362474,0.8418625234866824,0.5647883469757516,0.7059700865473927,0.2971550534823328,2.444128743652059,0.043327231120130386,0.18771448122650056,0.5497446313017922
74,1.2071128224297993,8.612134267843753e-05,0.06867482068392833,0.14657356942942,0.8908039654245251,2.34647993745448,4.8383056318935887e-14,0.12144566683418703,1.7550500492241767
75,0.25015121990779904,0.21715414437947217,0.3136088106325782,0.874523762859526,1.5941492316317837e-07,2.232457413172641,0.012021872066445307,0.2386472256056937,2.3321462806264037
