AgentID,LatentFactor_1,LatentFactor_2,LatentFactor_3,LatentFactor_4,LatentFactor_5,LatentFactor_6,LatentFactor_7,LatentFactor_8,LatentFactor_9,LatentFactor_10
47,0.1138451749696644,0.07179861755326496,0.1156652368786743,0.23847973475965248,0.26024908165757543,0.2417020204823739,5e-324,0.21032328216758497,0.22330493986524502,0.1506519624003881
48,0.4246137698440864,0.06059479742186354,0.1034112121745317,0.24526297757003768,0.20991805367955407,0.17063446143209612,0.15221401083051142,0.07795079506769585,0.11591308328846026,0.08992624439613352
49,0.5196669813202002,0.05514576889895848,0.16121379292362997,0.07297198602627258,0.1915205234120826,0.08469097349115574,0.1743678130152079,0.256991463773537,0.2220811197478597,0.15967087862808166
50,0.37486019312073887,0.08554368552718372,0.022804272192689646,0.12616973493326122,0.21202373511541125,0.1553005700662595,0.18068529745379439,0.3358469526581781,0.31139629564918575,0.13493705161035152
51,0.556183448337845,0.06774028577655967,0.26176280195833834,0.10574656165382675,2.2776598327275173e-53,0.11915792294358288,0.2575541492265223,0.35694367398960486,0.159623425605418,0.10497418630140667
52,1.24e-322,0.025487955864038816,0.14203435572046902,0.12849843265801664,0.26118267708673576,0.2990619658737723,0.0,0.30767944721573165,0.23344067598018525,0.16840648436902148
53,0.44085048592204656,0.13548699374736178,0.04433469150582633,0.3124491581435593,0.08401779725944251,0.0935144819599176,0.07706550509460748,0.14568769169790283,0.3010597524010134,0.13011123515124923
54,0.3077872432904697,0.09242411095863745,0.15679213942620981,0.2680233094446651,0.06761625293367488,2.3960673342945574e-219,0.17909827824800043,0.2845257677652862,0.1614579107639083,0.23917700417267876
55,0.18747258320176985,0.08437396757038475,0.22422147258189,0.08998267428061266,0.2723307434946088,0.2098240379405329,0.045687191912475354,0.10477842455840441,0.06309506295910311,0.18352986331246793
56,0.0035661239550889355,0.07410765935483779,0.09500902510362429,0.18164806369110412,0.3011008810533982,0.07629088130961847,0.0,0.5269700746730246,0.19379177553571544,0.13914591171599264
57,0.29028550110191964,5e-324,0.2137312160703789,0.15919059157985135,0.16420073822730183,0.2977623678086186,0.0,0.23988780789494166,0.2106482774223594,0.012034750923507491
58,1.24e-322,0.025487955864038816,0.2789025522335553,0.3406198573087891,0.18057619424832966,0.17245020669409636,0.0,8.18381336248093e-05,0.15378159521737386,0.24655042257433404
59,0.5850908752266433,0.1582176190064477,0.1673437715382256,0.1280079927473667,0.17990357694772938,0.07823686749128073,0.1117998506515215,0.12100931302056446,0.05128807718818462,0.11176452423951319
60,0.0,0.022743048007344734,0.01379665815408769,0.40775101546042514,0.2126680860623232,0.1014526261522677,0.0,0.3670803256876282,0.31055242162426266,0.1083896501071982
