AgentID,LatentFactor_1,LatentFactor_2,LatentFactor_3
43,0.7495119008105151,0.19635869083804675,0.7490305603286952
44,0.5870643475963612,0.5358987064027011,0.014098540294555678
45,0.5484282930936765,0.3864180541539244,0.2314576028892035
46,0.2621043098986531,0.32664369898970547,0.857546806695262
47,0.5290966534680863,0.6029537847328217,0.17862102890646991
48,0.2895637538977417,0.4203495435706488,0.6794436813294821
49,0.5865564641647906,0.30010544498206576,0.8031047729572883
50,0.6636777948317171,0.34184011532064035,0.663828260097911
51,0.46808444246832787,0.291538273407818,0.930536679562975
52,0.5825068838646953,0.6493698639476888,0.016581418791698287
53,0.33186645594426695,0.41930941263231164,0.691130034905438
54,0.8491894037986838,0.15116231892022244,0.5920235167083032
55,0.484508318598688,0.4664165993039142,0.32639653545882147
56,0.8845772198464419,0.39087202877575195,0.05628926756366521
57,0.2709889188337147,0.6371596737777085,0.3139267767451165
58,0.49961816305382684,0.6374644568063687,0.015171459309553248
59,0.38742785930859513,0.22344238499520036,0.9075636999296317
60,0.5898988092815289,0.5702303676513576,0.013516140998856327
61,0.3837733194821049,0.5331676985766993,0.3596729082585044
62,0.4428234668193876,0.31599123528959366,0.7946210444031695
63,0.37624151202344674,0.6812270018753066,0.0008976731565509372
64,0.7138186396361939,0.48126377356414574,7.684143380885584e-05
65,0.6974557516526767,0.4446145610120711,0.029449091032176362
66,0.5817632986633965,0.5030787815939421,0.016703686195869618
67,0.4904064023040738,0.19308798401566277,0.8216063250072069
68,0.5742677156738746,0.42668790444895865,0.2657476270097719
69,0.36141271354860727,0.3249807754690897,0.7897632884666962
70,0.43677440761392267,0.489463979587575,0.33722433938333235
71,0.4446308874091654,0.2928401609399084,0.7432584772373919
72,0.45292831145350526,0.27242402395301457,0.8855029264286686
73,0.3773315171239825,0.4461053667029781,0.4459873225928824
74,0.5949798216725466,0.39776686705403036,0.20375121708683555
75,0.4384288842226271,0.5876011912061005,0.0698076865848631
76,0.6633630992050144,0.49296395388739744,0.05181269604593228
77,0.9770905096720855,0.39954174353419075,0.06417258568527583
78,0.7425509514420182,0.19486404547819555,0.7383398365146763
79,1.0421636950924082,0.3316402977351488,0.2820341440631663
80,0.3819281678296446,0.7128456343124222,0.03885116720651188
81,0.6488638836752398,0.44428077986328113,0.2616821068533832
82,0.5726542998322919,0.6437958682853892,0.01555845748332422
83,0.6366069738413925,0.4179744969941559,0.186225571871417
84,0.6679999188930072,0.5671918616072809,0.015575921644646312
85,0.8006059596735677,0.1583853284350856,0.6579274033804517
86,9.432286167969979e-29,0.514867848922219,0.760700363582379
87,0.8833426397711085,0.35330688384631803,0.041968227333174644
88,0.7799634358965178,0.39308112945297996,0.2915279378708774
89,0.5116806043134927,0.6209072752029584,0.014963539337189288
90,0.6572510225529207,0.5262996190322524,0.0022392749284727963
91,0.5064662786708153,0.40935725810474016,0.5584904237886755
92,0.3968457486114705,0.44732222628684104,0.5548288164744517
93,0.8648750119075527,0.40055017842131885,0.0318585007986617
94,0.5738096843951008,0.5573209509156342,0.11312400648104781
95,0.43787707617520405,0.43611096845106173,0.588946379411296
96,0.487037540011439,0.5277091672854839,0.07968105771034835
97,0.526291668384468,0.51223189141341,0.35557741033411916
98,0.42490426804096343,0.5299911924338975,0.3973057608310666
