Trial,LatentFactor_1,LatentFactor_2,LatentFactor_3,LatentFactor_4,LatentFactor_5,LatentFactor_6,LatentFactor_7,LatentFactor_8
16,0.1428767608259111,0.7148956006636795,1.243090213128449,0.46495232628052224,1.5703168274016195,0.08364252506126449,1.363311673012258e-58,1.0605600316615897
17,0.06349413372176614,0.723863890845896,0.79302748058536,1.0649089351021472,1.8488674501058728,2.497189086626962e-07,6.409376130559662e-13,0.799217900020152
18,0.48850695050854054,1.1195621411218482e-15,1.4220231572288242,0.22156848676949262,1.8847734905449554,0.5828035175421488,5.425081240576059e-10,0.5347970815743307
19,0.003244797140887508,0.281054847377908,1.5387600174886538,0.8258517930362496,2.068824342866043,0.03296248164766746,2.259247474306731e-27,0.308139161945827
20,0.40513098991403795,0.4004853349234533,0.6041632329443302,0.9803760289277619,2.2676531082579774,0.29423577983313276,2.3680818162772956e-21,0.10481557062439784
21,1.159440705986202e-06,6.538298426708921e-26,0.7948387826093589,1.731013733301448,2.1422931964877336,0.08639554672163001,0.06590456081745773,0.029129673326087315
22,0.9218837023647889,2.0166094304028785e-06,0.2905772790429486,1.1282895901226058,2.1068692775266378,0.5511123026865317,1.5291053338860915e-73,2.1051695669834523e-60
23,0.7041603105149445,0.08683827925487084,5.440594664517606e-09,1.2602811051985476,2.065757533714486,0.9551495036495949,1.592595235619853e-39,8.169766789790402e-136
24,0.33581849789519724,6.34531957359257e-07,0.6592660444354911,1.184885230215118,1.869637344808717,0.6254256113577159,0.30113427504203133,8.199618017652147e-167
25,0.42897689368635994,0.6567149643066341,0.516877185483383,1.0620041617679672,1.9220903199592871,0.1640183624516583,0.16945099599611235,6.650535612066016e-185
26,0.2816909936186068,0.5472038225106547,7.533056180885258e-17,1.2607963304684315,1.6886166057324756,0.7610860508164718,0.153061313321966,3.97872702339435e-31
27,0.38956193491309504,1.5553695417502014,0.265478152857706,0.4788270465090606,1.7498939915234417,2.4689807447140927e-19,0.12358881115289208,2.1887007091928808e-92
28,0.3266242703119437,0.7223004094769648,0.6705389917063889,0.18783608663171633,1.7744698432939834,1.0733445912202662,0.21474501281690334,2.863043357711932e-132
29,0.902272273432222,0.27953192708816016,0.0005184413721000256,0.7625506087506851,1.6157401310278758,0.9061025431603846,0.23872578740171163,7.295386602509728e-208
30,0.0663523184007727,0.9666649415491461,0.778997442108605,0.9810256641728299,1.5104090786692446,4.2067923091841856e-40,0.33502728438920004,8.830616916479742e-126
31,0.9668491579857558,0.5866574933854449,0.818496946250193,0.27605162480770395,1.5833374773175806,2.385329790870091e-55,0.27327339137957146,4.797170149413288e-100
32,0.02861677485675622,0.846474527572839,0.9871737363233678,0.46986846363138635,1.5417186530090286,0.5392667450340554,0.2657034095672326,1.7805667457383765e-87
33,0.47768088035629225,9.907294851680932e-15,1.1033672034423114,0.3285090088941636,1.339228544276274,0.8507205076082267,0.5499435882103436,4.9702589906153365e-155
34,0.7740695590801246,0.3064743367754402,1.1488957663965453,0.0011951536840369684,1.2508364437826944,0.6272932097534428,0.4472081380057246,4.137959248484792e-155
35,5.877034243314627e-27,4.8837545179231275e-05,1.2743574301269345,0.22528961599128752,1.2271817953994517,1.4263787318856034,0.5593289854073826,6.65178756397027e-146
36,0.23716399914915454,1.0396141690163512,0.8509756270333048,0.2760362407284952,1.039585973511647,0.6136483379596397,0.6047375532485167,3.489060336557462e-155
37,0.6059666139478622,0.8330694245312141,0.5868370998677123,0.2059295291663949,1.1413311959928147,0.581693085549116,0.661427095485726,4.265099772835671e-192
38,0.6397486479103607,0.7739251144644851,0.12829324427831473,0.6226331608801678,0.7574748196798677,0.9100486775735053,0.7878937994190043,4.248300673323965e-56
39,0.6641263837058767,0.3484826102047636,0.4163445420749087,0.8826827337394938,0.6539136009649135,0.5209272424397441,0.820331503281783,0.04273090683573027
40,0.36472994102878914,1.123369955906787,1.0938158688466342,0.033082441606976924,0.7754770748070824,0.27062857740801116,0.7780568458149241,1.6609315051098397e-36
41,6.692956210295061e-07,1.5313336613511068,0.7873461435169254,0.5967737027943878,0.7397319077394988,2.309302842141065e-17,0.833461312068914,8.564774266810575e-153
42,0.32565787592348655,0.9246049936597743,0.9064436766275158,0.349929515389653,0.705032945131105,0.19864157493771223,0.8316439509389014,6.572640336095195e-124
43,0.4826013817612613,0.83986195975505,0.3954448868403587,0.15224877689624133,0.7343463410422961,1.1678839346857555,0.7413997989595703,4.567355253420946e-170
44,1.8260782439176294e-05,1.9703905308314638,9.902804906447792e-05,0.7275029366979292,0.5080595280006089,0.1979488656876826,0.934474906536488,2.290282138285548e-202
45,0.18658479457056004,1.141387936181343,0.4274999879874017,0.3496561558885196,0.4412477617167294,0.9735485776264379,0.9358601291850913,2.1144185615560278e-39
46,1.6029095376426066,0.0157215594755512,5.218632086620695e-26,4.93440268425698e-16,0.4885829393414077,1.427439593661136,0.8827491079220171,4.62211848558599e-33
47,1.1619755407959669,0.9243421762642259,3.4828301386750515e-42,0.355656515212245,0.4550662168263813,0.40359057471183096,0.9255231790361341,0.058361937734633565
48,1.190465115305778,0.7462128214622826,1.7870182454002398e-17,0.26093350286066236,0.6117706084613533,0.7767470979709459,0.9005489074060836,6.205182957729268e-269
49,0.30810644598557363,0.5557346644019466,0.410236536549432,0.9939951178889781,0.7580778655412207,0.5841018066595595,0.7991278121509597,6.0144323570948e-141
50,1.1474458636434257,0.5740296737470848,0.3035822650416442,0.2222852261529079,0.5116198644673785,0.8147022788378686,0.8876149383578078,3.600020301731629e-159
51,0.93600894859685,0.5261811142768602,0.604201155164852,9.450787000478768e-07,0.4652839908803238,0.8657089052928049,1.0463057928225854,3.967594054983616e-39
52,0.6250851947613957,0.8268779801710956,0.5462340249255281,0.29155279924639177,0.3402134109609963,0.6242844769945941,1.087699497236281,5.7257239002685735e-62
53,0.7865869928697384,0.07544169080218789,0.3057024713549525,1.014402210281183,0.21740576488865412,0.7734726648636759,1.1584956905408423,5.101876165925602e-76
54,0.08688365936672794,0.5504425411533399,1.0702052034193883,2.844146890148161e-16,0.3090061520946494,1.177760979630092,1.126053123635265,8.442058207015907e-74
