Trial,LatentFactor_1,LatentFactor_2,LatentFactor_3,LatentFactor_4,LatentFactor_5,LatentFactor_6
29,0.6261017340063716,0.666049427240343,0.6482868091050588,0.48799210977353613,0.7776837260938206,0.11682435203115966
30,0.6459251438470183,0.8294786962738488,7.512204705262148e-07,0.48926821841547724,0.7614241121738891,0.7174325710169818
31,0.6142540948002407,0.04878476146661501,0.013860314332535244,0.5331740180356256,1.6002079362434523,0.7894782913788475
32,0.5947597221909858,0.5279287795482097,0.3484627401209016,0.5244416640799443,0.3047951239593706,0.9736970102175643
33,0.7734259865186879,0.22472684318866706,0.36644788535082784,0.3760081728567143,0.7537562754243421,0.865578293537167
34,0.6835157331898466,3.532318447661676e-12,0.5338234967663978,0.34233836389476285,0.9183970759003063,0.8839073947612601
35,0.7476132069049314,0.4384985662837818,0.5998984904040585,0.34453122111089396,9.243461010060574e-05,0.9863721132243655
36,0.74027333120328,0.43426850955935786,0.5379560940762543,0.25677430180159017,0.444446717111006,0.8501996518480376
37,0.8177142251785341,0.30664260233199425,0.5203806740894994,0.2671485294482325,0.7164173362058318,0.6551494716821978
38,0.7688176546714411,0.7181356013317701,0.6449971524761382,0.20050441411155107,0.5075836631950256,0.40255515177239987
39,0.7450564577803988,0.7908374003819354,0.28688717481172266,0.22237039829941369,0.8919845623223893,0.3442240397910578
40,0.7666715001362725,0.3073678707976892,0.24922304088076472,0.20992595380210285,0.7639978981884593,1.0033334582916613
41,0.8250485889048818,0.663688041336451,0.05080716700154908,0.1359412460484163,0.3771079577243214,1.157312363438908
42,0.8106330395544146,0.06212095412681177,0.29363275426353497,0.13214115431422213,0.5502774773363716,1.2362601586351267
43,0.7611174482782224,0.2941977408558938,0.7692829018620244,0.13346720326319886,0.2809890797655207,0.794003354848623
44,0.848080539967137,0.6338083506468981,0.45207069982243325,0.02316828498010882,6.259042991190808e-17,0.9442662997470047
45,0.7859749807651435,0.38674689630290704,0.7281835128083677,0.09119874923061039,0.10314208781130169,0.9148024627650808
46,0.751820235416816,1.8385505138711667e-16,1.016152129245862,0.1277744320926966,1.0188650842690181,0.30906102765991117
47,0.7619186626433042,0.06743270136817354,0.7743270318842409,0.16455503349619544,0.8650737833756657,0.538138368506128
48,0.8564529231686775,0.029783813214904593,0.8679776305303937,0.049166074638729476,0.9074434907807348,0.5079399912325818
49,0.7995344872648469,1.0899967047444057,0.2829657136511852,0.1568612437802459,0.8509041287735625,0.07450963928245588
50,0.7857329222231844,0.1596105735400785,0.8031722945948359,0.0843054797258954,1.1010562793596672,0.39165765765947214
51,0.8654236423215022,9.901108895893745e-08,0.7889561085794171,0.10273631081428274,0.7512672435103214,0.7215949326635371
52,0.8686062788623036,0.6412076852810451,0.48609553810449013,0.04181284286934533,0.7682634486301159,0.3894004154355418
53,0.8834579013754896,0.5119902122062892,0.5082038147861485,1.6495200007085815e-07,0.9436316722540675,0.42501798103373123
54,0.8926424549262556,0.44295110275467947,0.7174377345366814,0.01830155473005298,0.43852998697618883,0.5074258361416301
55,0.8209959128644148,5.02020536020181e-06,0.8443421593677515,0.12080789557902481,0.5921534775769453,0.7371976010233151
56,0.8847856008080506,0.3493988336386472,0.6347182873947987,0.0824993468091587,0.6677221938184664,0.5855837251096357
57,0.7663113008280991,0.3114582815224803,0.7405049459775729,0.08545342262350429,0.6185208137594259,0.6274185411589229
58,0.9033069922818495,0.25053836442394595,0.8039506924395635,4.287663350246952e-06,1.391236192564457e-06,0.9670171405535922
59,0.8565259511014809,0.3105249066230368,0.2913656117434512,0.05926142792469594,0.8808296763147833,0.8163303236284288
60,0.8321811574310857,0.39863761067472225,0.5371184406292737,0.11767035584148595,0.21719901315705076,0.9498861846750756
61,0.7738301225534077,0.11850316541862917,1.0291592193779444,0.12348195300059003,0.6961467123529689,0.33736672932560174
62,0.8658856596521067,0.8016111264424352,0.7897558953445325,0.12902185124853707,0.5309261624373673,1.634343930123191e-05
63,0.7609933381387635,0.4814808200826671,0.880238471317795,0.12365938577793481,0.5503846643470154,0.2843370486890905
64,0.923027406153659,0.5248151169724511,0.8649480070542325,0.07979213700737278,0.5843069472555891,0.19525927588713513
65,0.7863038764162494,0.5188456264587189,0.5775926270724963,0.10187394866587114,0.858706742726684,0.3905318632048879
66,0.8004850869421186,0.24431018479372463,0.5411882144296528,0.016607279125687116,1.0337169501111736,0.5792783481479907
67,0.8476678906607794,6.438477401349043e-05,0.8639349218653064,0.018550871311748166,1.1138213528938365,0.38692810274970874
68,0.8372203920643937,0.13443709375949978,0.7904572745777214,1.2813057337139218e-14,0.9254535192228751,0.533359861857565
69,0.959856380831755,0.1092088537998394,0.7723730915604116,6.729188401588419e-67,0.44949775440718903,0.8438383142954643
70,0.8526984287531593,0.6297114129771542,0.5831584799355443,1.775902246304415e-15,0.9217747456202362,0.13097182592970605
71,0.8564858938941271,0.2813117851211817,0.6655673977085078,8.019952267154377e-16,0.7401282119863878,0.5862954922707858
72,0.8841404341218908,0.37687284591016623,0.9056514235837304,6.103173826978052e-05,0.7691437341607673,0.16662279572972294
