Trial,LatentFactor_1,LatentFactor_2,LatentFactor_3,LatentFactor_4,LatentFactor_5
30,0.08766868461518451,1.1348347395341156,0.5833898423538858,0.49967423303640585,0.4985524844623588
31,0.7435389917048991,1.0591311659373501,0.000161543882395924,0.5445079443816064,0.47411573938565177
32,0.4862116440255514,0.6524191784177346,0.8036876273451165,0.5355833502136066,0.4590731585503309
33,0.7105187696879104,0.6875988184274725,0.4908962043684418,0.3840048031819346,0.5969426032107703
34,1.0000526497371904,0.6410348040604266,0.36688962312654594,0.3494819191651796,0.5276017568315294
35,0.26597051070301536,0.5956572383840404,1.0387749975260872,0.3517132469565845,0.5770756732053426
36,0.5687155658047138,0.6450231374903486,0.817023533659172,0.2621016652005541,0.5713965249567923
37,0.7351402265668533,0.5129662414366931,0.6827176419620951,0.27283998941821586,0.6311089120768516
38,0.7051935565523,0.41941043571486625,0.9580296746963907,0.204781029016586,0.5933648080751548
39,0.5569830383003523,0.7194240843391206,0.646205655710321,0.2271110140436228,0.5750292206463385
40,0.5535502964881533,0.8376209628302641,0.5522404821237831,0.2144073007782512,0.5917075029257941
41,0.2746951757039316,0.9009051859573534,0.7517334368299039,0.138845124631248,0.6367556246393247
42,0.7028016931680856,0.6735470248537408,0.502122345074863,0.1349637539440889,0.6256300120552118
43,0.9638935788953892,0.19799973435795906,0.9314252640781907,0.13631407761862926,0.5874172318547718
44,0.5878268463266973,0.32318692267790017,1.0712631676980569,0.023611695266260987,0.6545429550810276
45,0.7287878704278828,0.3167387367367063,1.041653402223431,0.09314140102548141,0.6065991481429629
46,1.7103574405340007,0.00871293875341683,0.4920076834755154,0.13050632882275426,0.5802387750720687
47,1.360612487756353,0.18899356905795955,0.5288721081220328,0.1680656667485317,0.5880375767763892
48,1.3018637699483047,0.23344668606498378,0.5861261494171784,0.05022320669338201,0.6609853520131143
49,0.09767002025705478,0.8532467110446178,0.8887046900141817,0.1602073788598537,0.6170677629411755
